"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","65035","0000500. 13 => objective = Round Trip with Slip Initialization via Cnx=AmbulifeFleetManagerConnection [deviceName = Web, user=FleetAdmin-thierry.sofia.ts@yopmail.com]","","Mon Sep 01 18:42:20 CEST 2025","failed","Mon Sep 01 18:43:25 CEST 2025","","Trip Creation Tests","TestSuite.TripCreationTests","createTripRequestForNonRegistered"
"","141091","0000500. 2 => objective = Regular Taxi Trip Initialization via Cnx=AmbulifeFleetManagerConnection [deviceName = Web, user=FleetManager-thierry.sofia.83@yopmail.com]","","Mon Sep 01 18:27:56 CEST 2025","passed","Mon Sep 01 18:30:17 CEST 2025","","Trip Creation Tests","TestSuite.TripCreationTests","createTripRequestForNonRegistered"
"","1","Check that newly created Company has a single fleet Manager","","Mon Sep 01 18:12:26 CEST 2025","passed","Mon Sep 01 18:12:26 CEST 2025","","Creating the company that will be involved in the campaign","TestSuite.FleetAdminProvisionningTestedCompany","CheckNewCompanyHasASingleFleetAdmin"
"","0","Check that drivers read from fleetAdmin via web are correctly affected to each fleet Manager via specific connection","","Mon Sep 01 18:55:36 CEST 2025","broken","Mon Sep 01 18:55:36 CEST 2025","","Trip Affect Tests","TestSuite.TripAffectTests","checkDriversOnFleetManager"
"","64103","FleetMgr completes his Fleet by adding a random number of cars FleetMgr completes his Fleet  #1: check and add to get 2 cars to the fleet","","Mon Sep 01 18:20:25 CEST 2025","passed","Mon Sep 01 18:21:29 CEST 2025","","Creating the company that will be involved in the campaign","TestSuite.FleetAdminProvisionningTestedCompany","addCarsToFleetasFleetMgr"
"","46684","Check that Dashboard Counters are ok 2 => Cnx=AmbulifeFleetManagerConnection [deviceName = Web, user=FleetManager-thierry.sofia.83@yopmail.com]","","Mon Sep 01 18:51:21 CEST 2025","passed","Mon Sep 01 18:52:08 CEST 2025","","Trip Dispatch Tests","TestSuite.TripDispatchTests","checkDashBoard1"
"","23385","Check that cars read from fleetAdmin via web are correctly affected to each fleet Manager via specific connection 2 => Cnx=AmbulifeFleetManagerConnection [deviceName=emulator-5554, user=FleetManager-thierry.sofia.83@yopmail.com], fleetMgrSource = {1}","","Sat Aug 30 21:05:12 CEST 2025","passed","Sat Aug 30 21:05:36 CEST 2025","","Trip Affect Tests","TestSuite.TripAffectTests","checkCarsOnFleetManager"
"","241083","Affect a random trip using different connections 1 => Cnx=AmbulifeFleetManagerConnection [deviceName = Web, user=FleetManager-thierry.sofia.83@yopmail.com]","","Mon Sep 01 18:55:36 CEST 2025","passed","Mon Sep 01 18:59:37 CEST 2025","","Trip Affect Tests","TestSuite.TripAffectTests","affectATrip"
"","18923","FleetAdmin/Root randomly adds Drivers to the Fleet","","Mon Sep 01 18:15:27 CEST 2025","passed","Mon Sep 01 18:15:46 CEST 2025","","Creating the company that will be involved in the campaign","TestSuite.FleetAdminProvisionningTestedCompany","addDriversToFleetasFleetAdmin"
"","87480","FleetAdmin/Root randomly adds Fleet Manager to his fleet FleetAdmin adding fleets 1/2","","Mon Sep 01 18:12:31 CEST 2025","passed","Mon Sep 01 18:13:58 CEST 2025","","Creating the company that will be involved in the campaign","TestSuite.FleetAdminProvisionningTestedCompany","createNewFleet"
"","3","Check that drivers read from fleetAdmin via web are correctly affected to each fleet Manager via specific connection 1 => Cnx=AmbulifeFleetManagerConnection [deviceName=emulator-5556, user=FleetAdmin-thierry.sofia.ts@yopmail.com]","","Sat Aug 30 21:05:36 CEST 2025","passed","Sat Aug 30 21:05:36 CEST 2025","","Trip Affect Tests","TestSuite.TripAffectTests","checkDriversOnFleetManager"
"","4374","Check that newly created Company has no trip requests","","Mon Sep 01 18:12:26 CEST 2025","broken","Mon Sep 01 18:12:31 CEST 2025","","Creating the company that will be involved in the campaign","TestSuite.FleetAdminProvisionningTestedCompany","CheckNoTripRequests"
"","65845","FleetMgr completes his Fleet by adding a random number of drivers FleetMgr completes his Fleet  #1: check and add to get 3 drivers to the fleet","","Mon Sep 01 18:17:15 CEST 2025","passed","Mon Sep 01 18:18:21 CEST 2025","","Creating the company that will be involved in the campaign","TestSuite.FleetAdminProvisionningTestedCompany","addDriversToFleetasFleetMgr"
"","72635","0000030. Add 2 Drivers to Fleet of fleetMgrGrassois","","Mon Sep 01 18:09:22 CEST 2025","passed","Mon Sep 01 18:10:35 CEST 2025","","Environment Creation","TestSuite.CreateEnvTests","addDriversToFleet1"
